name,description,category_id
Актёрское мастерство,,1
Английский язык,,1
Биология,,1
Инженерия,,1
История,,1
Математика,,1
Музыка,,1
Начальная школа,,1
Немецкий язык,,1
Рукоделие,,1
Программирование,,1
Русский язык,,1
Химия,,1
Благоустройство территории,,2
Аренда инструмента,,2
Бурение скважин,,2
Вентиляция и кондиционеры,,2
Возведение стен и перегородок,,2
Вывоз мусора,,2
Высотные работы,,2
Изготовление рекламы,,2
Кровельные работы,,2
Загар,,3
Коррекция бровей,,3
Косметология,,3
Макияж,,3
Массаж,,3
Ногти,,3
Парикмахеры,,3
Пирсинг,,3
Эпиляция,,3
Оформление ресниц,,3
Дизайнеры,,4
Маркетинг,,4
Переводчики,,4
Программисты,,4
Работа с текстами,,4
Системные администраторы,,4
Системная интеграция,,4
Бизнес-консультанты,,5
Бизнес-тренеры,,5
Бухгалтеры,,5
Делопроизводители,,5
Кадровики,,5
Логисты,,5
Охрана труда,,5
Оценщики,,5
Риелторы,,5
Страхование,,5
Юристы,,5
Артистические дисциплины,,6
Единоборства,,6
Игровые виды спорта,,6
Индивидуальные виды спорта,,6
Лёгкая атлетика,,6
Многоборье,,6
Оздоровительные дисциплины,,6
Силовые виды спорта,,6
Технические виды спорта,,6
Циклические виды спорта ,,6
Экстремальные виды спорта ,,6
Арт-вечеринка,,7
Организация детских мероприятий,,7
Организация девичника/мальчишника,,7
Организация корпоративных мероприятий,,7
Организация семинаров,,7
"Тимбилдинг ""Конструктор""",,7
Школьный выпускной,,7
Организация спортивных мероприятий,,7
Организаторы свадеб,,7
Концертные агентства,,7
Детская дискотека,,7
Декор мероприятий,,7
Диджеи,,7
Звукорежиссёры,,7
Квесты в реальности,,7
Лазертаг,,7
Аттракционы виртуальной реальности,,7
Выгул собак,,8
Домработницы,,8
Консьержи,,8
Охранники,,8
Колка дров,,8
Уборка придомовой территории,,8
Ручная уборка снега,,8
Лечение рыбок,,9
Акушерство животных,,9
Вакцинация животных,,9
дерматология,,9
диетология,,9
кардиология,,9
неврология ,,9
стоматология,,9
терапия,,9
хирургия,,9
Груминг,,9
Дрессировка животных,,9
Зоопсихология,,9
Искусственное осеменение,,9
Кинология,,9
Лечение грызунов,,9
Передержка животных,,9
Реабилитация животных,,9
Сельскохозяйственные работы,,9
Усыпление животных,,9
Стоматология,,10
Психолог,,10
Коррекция глаз,,10
Повара,,11
Кондитеры,,11
Кейтеринг,,11
Стиральные машины,,13
Холодильники,,13
Электрический плиты,,13
Микроволновые печи,,13
Телевизоры,,13
Автосварка,,14
Автоэлектрика,,14
Детейлинг,,14
Компьютерная диагностика автомобиля,,14
Химчистка салона,,14
Шумоизоляция авто,,14
Диагностика автомобиля,,14
Замена масла,,14
Замена сцепления,,14
Кузовной ремонт,,14
Покраска авто,,14
Полировка кузова,,14
Предпродажная подготовка авто,,14
Тонировка авто,,14
Установка автоакустики,,14
Установка автосигнализации,,14
Эвакуаторы,,14
Ванны,,15
Водоснабжение,,15
Ванная под ключ,,15
Водонагреватели,,15
Канализация,,15
Ремонт туалета,,15
Установка водосчётчика,,15
Штробление под трубы,,15
Автоматизация освещения,,16
Замена домофона,,16
Замена электропроводки,,16
Монтаж распределительной панели,,16
Монтаж электрощитов и автоматов,,16
Наружное освещение,,16
Прокладка антенного кабеля,,16
Системы безопасности,,16
Установка альтернативных источников энергии,,16
Установка трансформатора,,16
Штробление под проводку,,16
Архитектурная фотосъёмка,,17
3D-панорамы,,17
Выездная фотосессия,,17
Обработка фотографий,,17
Портфолио,,17
Свадебный фотограф,,17
Съёмка с квадрокоптера,,17
Фото на документы,,17
Реставрация фотографий,,17
Вождение автомобиля,,18
Вождение квадроцикла,,18
Вождение мотоцикла,,18
ПДД (теория),,18
Сопровождение на экзаменах в ГИБДД,,18
Экстремальное вождение,,18
